averagerank.wholebrain,finalrank.wholebrain,finalrank.wholebrain.zscore,averagerank.hemisphere,finalrank.hemisphere
15514.9,6403,-1.3587324551932,7789.45,3219
16765.75,7881,-1.27255627698926,8286.25,3812
19440.95,11344,-1.07064280938422,9621.25,5498
17971.2,9456,-1.18072442267856,9052.35,4749
21775.9,14850,-0.866222186391649,10865.1,7445
22031.7,15262,-0.842200139422756,11115.25,7870
20281.25,12517,-1.00224994264997,10172.6,6357
20428,12741,-0.989189412259114,10014.8,6093
21971.45,15160,-0.848147345225735,10775.05,7307
22891.35,16767,-0.754449700859203,11218.9,8054
23519.7,17858,-0.690837921143032,11682.75,8934
16131.05,7140,-1.31576097796972,7909.45,3372
16408.3,7465,-1.29681154771513,8211.35,3730
16390.5,7445,-1.29797766650003,8207.35,3723
15475.2,6353.5,-1.36161859918582,7736.65,3148
17058.65,8223,-1.25261564576751,8424.85,3967
16710.25,7819,-1.27617124522244,8261.05,3791
15080.3,5811.5,-1.39322041825655,7593.35,2940
18347,9976,-1.15040533427122,9137.3,4863
23920.55,18494,-0.653755343783285,11927.65,9331
23158.3,17237,-0.727045909414107,11504,8597
20472.55,12800,-0.985749361843666,10043.95,6148
21673.1,14694,-0.875317912913852,10770,7295
22944.65,16869,-0.748502495056225,11245,8094
14335.3,4752,-1.45499556088651,7164.55,2332
15760.85,6706,-1.341065755602,7865.6,3333
15141.1,5900,-1.38806034263338,7572.25,2917.5
15240.7,6022,-1.3809470180455,7634.65,3010
16860.85,7995,-1.26590939991534,8335.55,3868
17005.75,8169,-1.25576416648673,8403.15,3947
17378.95,8625,-1.22917665819107,8612.85,4187
22587.45,16223,-0.786168131808421,11258.3,8126
23925.15,18504,-0.653172284390836,11908.2,9296
23644.25,18066,-0.678710285780096,11871.2,9230
21242.6,13996,-0.916015458506782,10593.1,7027
21347.3,14175,-0.905578695381948,10607,7045
14902.1,5545,-1.40875895106531,7463.05,2758
15325.9,6151,-1.37342555188291,7670.25,3059
14911.6,5559,-1.40794266791589,7473.15,2765
15051.1,5766,-1.39587333849219,7564.85,2908
17181.75,8360,-1.24462773209096,8492.55,4060
