G1.fMRI,T1T2ratio,Evolution.Expansion,CBF,AllometricScaling.PNC20mm,PET.AG,Externopyramidisation,Cortical.Thickness,PC1.AHBA,PC1.Neurosynth
5.743521528,1.242983714,0.585763251,66.69593491,1.221805004,0.659934563,0.125536554,2.579925551,2.110156099,28.38251627
6.248717644,1.16257272,0.57397801,58.42121251,1.120002596,0.243189319,0.138154186,2.887022813,5.245235446,25.22689521
6.528720742,1.190529989,0.517823653,61.63205257,1.127041815,0.576115512,0.135402593,2.852952806,2.760459561,12.73740008
6.115798524,1.186311837,0.513103039,66.69411537,1.17055424,0.385945289,0.1650924,2.538482135,2.720565866,17.47815237
6.241241285,1.188814687,0.486270873,60.24963606,1.145509763,0.411902706,0.138670344,2.554117582,3.986966534,1.154318187
5.250130163,1.291776599,1.025261348,70.75482037,1.219098926,0.754779661,0.149632833,2.591687331,-0.707705584,18.01697788
3.642548987,1.261437062,0.89356122,73.29573896,0.794916908,0.350508067,0.199540382,2.76029791,3.120753083,5.795062398
3.960216308,1.291641913,1.448775618,72.54466278,0.967161233,0.468124302,0.161112245,2.645843274,-0.156104431,20.53104909
5.717270463,1.248066942,1.503341463,74.43269887,0.965559625,0.289351774,0.201547327,2.755347823,0.269615399,22.66317878
5.699348875,1.203771451,1.436387556,73.54397104,0.994621206,0.455174449,0.145637687,2.669397218,1.718254711,1.154318187
-1.202369247,1.254677244,0.248202234,73.6382722,1.020565975,0.204540568,0.189773245,2.704866612,2.281345158,-25.19287112
0.981543724,1.348879873,0.659813902,69.54805408,1.077604675,0.445637388,0.129374642,2.566178448,1.303940063,15.83520297
1.418288213,1.340812743,0.3657404,69.60343674,1.234959874,0.324178645,0.187661848,2.547014866,5.033623495,-4.637107853
2.927724277,1.337703561,1.117337818,70.72945832,0.920500432,0.537105974,0.126589084,2.502015138,-3.662090865,21.39447511
0.843969621,1.271458715,1.69633,70.68250879,1.006035441,0.554732151,0.226938658,2.489731948,-2.316676317,8.494760581
3.28785268,1.267025549,1.120040132,73.61628475,1.194324835,0.600566894,0.142681653,2.529579768,-4.256697514,8.823177439
0.065639252,1.209856023,1.265333588,71.90838191,1.286532142,0.366760489,0.134248012,2.564431712,0.252489273,17.59608872
3.368475216,1.235374298,1.827765957,77.24330246,1.129305818,0.646334162,0.205342382,2.531326208,0.544144512,17.59608872
1.092780526,1.214566152,1.210101754,69.06927565,1.193025037,0.407722029,0.173521338,2.452613574,0.224101205,9.375203453
6.040810222,1.184590363,0.689564729,65.33341769,1.110714226,0.367877214,0.151537175,2.423823962,1.758070217,1.154318187
6.232228937,1.161186244,0.15492898,66.82663253,0.79998972,0.026490844,0.245335099,2.78919018,6.349664275,13.1906067
5.018749347,1.206887326,1.080868171,68.62580817,1.028602255,0.380491177,0.115305901,2.489899886,0,9.375203453
6.168296129,1.181535116,0.665898947,61.09550012,0.902606942,0.259340164,0.137683017,2.665759553,4.83043559,1.154318187
2.798269275,1.206054426,0.796601988,65.64810537,0.94295103,0.329786377,0.12499504,2.72843265,1.502592882,1.154318187
2.192348179,1.242757141,-0.009298044,72.68723985,0.944828265,0.239547883,0.148860532,2.800519897,5.842276414,21.36442519
5.283471618,1.201062542,-0.343576939,64.81173731,0.735733458,0.222511228,0.203880046,2.300132143,7.952658629,1.154318187
5.30868679,1.240117631,0.340813182,70.21120439,0.932187204,0.080561923,0.252995366,3.02177445,7.350967929,20.11987504
0.688503315,1.38185499,1.186463,63.60239165,1.147588966,0.417257541,0.150435926,2.286913882,-5.575084871,-14.78618742
-2.511655771,1.320830993,0.662160724,64.51489583,1.048199556,0.378920006,0.198211504,2.543474249,1.029335024,-34.77789916
3.970367513,1.285593665,1.354148806,68.01174716,1.089039491,0.705556389,0.128430312,2.722182601,-0.567031733,-2.727841894
4.902885716,1.218229888,0.607328519,67.71760839,1.068652687,0.731094298,0.15638809,2.779955882,1.899100756,1.154318187
-3.760081185,1.292826604,0.046196749,71.64367113,0.928180581,-0.04187487,0.205366708,2.802894513,-0.680965047,-34.08867186
-4.39661919,1.28784756,0.143087467,61.53452951,0.922921953,-0.353649362,0.15901108,2.760603558,-4.353529128,-28.17119072
